company_name,company_location,reporting_quarter,economic_condition_tag,revenue_growth,profit_margin,stock_price_change,past_layoffs,total_employees,job_title,tech_stack,role_demand_index,department_resilience_index,tech_stack_trend_score,years_at_company,salary_range,performance_rating,department,remote_work,role_layoff_rate,industry,industry_layoff_rate,unemployment_rate,inflation_rate
Wipro Limited,Delhi,Q4 2024,Growth,12.13,19.58,16.29,No,212706,Senior Software Engineer,Python + Django,8.59,8.66,6.74,1,2183482,5,Engineering,Yes,0.765,Information Technology,1.41,6.6,5.43
Apollo Hospitals,Kochi,Q2 2025,Recession,4.59,19.59,8.76,Yes,63300,Machine Learning Engineer,Python + TensorFlow + MLOps,9.33,7.64,9.38,4,2124061,3,Analytics,No,1.025,Healthcare,1.68,5.68,5.41
Cipla,Hyderabad,Q3 2024,Recovery,6.16,18.64,9.95,No,23813,Business Analyst,Data Modeling + Power BI + Requirements,7.02,5.62,6.26,1,1475249,4,Management,Yes,2.268,Healthcare,1.39,5.87,5.15
Deloitte India,Gurugram,Q1 2025,Stable,6.28,21.2,18.29,Yes,107794,Technical Lead,Node.js + Microservices,7.31,8.23,7.64,2,2789381,4,Engineering,Yes,0.889,Consulting,1.48,6.03,5.58
HCL Technologies,Hyderabad,Q3 2024,Growth,14.48,20.29,20.56,No,225652,QA Engineer,Playwright + CI Test Automation,6.74,8.65,7.02,8,1720924,4,Engineering,No,0.848,Information Technology,0.75,5.8,5.11
Cognizant India,Mumbai,Q3 2024,Stable,6.08,14.6,16.24,Yes,267418,Engineering Manager,Cloud Delivery + Program Governance,6.34,6.64,7.41,4,3560505,3,Management,Yes,1.735,Information Technology,1.15,5.91,5.62
Jio Platforms,Bengaluru,Q4 2025,Stable,8.7,15.6,-2.92,No,88526,DevOps Engineer,Docker + Kubernetes + AWS,8.66,5.06,8.62,2,2502189,4,HR,No,1.209,Telecommunications,1.63,5.47,5.84
Sun Pharma,Mumbai,Q4 2024,Stable,10.36,17.92,24.73,No,40377,Senior Software Engineer,Python + Django,7.99,7.89,7.02,4,2782846,5,Engineering,Yes,0.257,Healthcare,0.7,6.01,5.5
Wipro Limited,Pune,Q3 2024,Stable,15.19,20.66,14.98,No,241290,Software Engineer,Java + Spring Boot,7.7,8.67,6.86,2,1641513,4,Engineering,Yes,0.975,Information Technology,1.08,5.58,5.59
ICICI Bank,Hyderabad,Q4 2023,Recovery,2.45,19.99,14.34,No,124804,Data Analyst,SQL + Power BI + Excel,7.72,8.53,7.13,7,2583291,4,Analytics,No,0.713,Financial Services,1.51,6.58,5.76
IBM India,Bengaluru,Q3 2023,Recession,5.78,12.51,5.9,No,147748,Product Manager,Roadmapping + Jira + Experimentation,6.91,7.11,6.5,2,4217643,5,Product,No,2.249,Information Technology,2.13,6.72,6.06
Coforge,Noida,Q2 2023,Recession,1.62,19.06,9.52,No,25353,Software Engineer,Node.js + React,7.99,6.51,6.5,7,1937411,3,IT,Yes,2.325,Information Technology,2.61,8.43,6.52
Amazon Development Centre India Pvt Ltd,Ahmedabad,Q2 2023,Recovery,8.9,10.41,17.75,Yes,152478,Cloud Engineer,GCP + Docker + Networking,8.87,7.75,7.16,3,2499296,3,Engineering,No,2.212,E-commerce,2.28,7.81,6.65
Axis Bank,Coimbatore,Q3 2025,Stable,10.4,23.08,20.73,No,86525,Site Reliability Engineer,AWS + Incident Response,7.71,8.31,6.9,6,2245778,3,Engineering,Yes,1.382,Financial Services,0.84,6.25,5.21
Infosys,Hyderabad,Q3 2025,Stable,11.4,20.35,16.94,Yes,369926,Senior Software Engineer,Python + Django,7.95,8.3,5.97,3,2291902,3,Engineering,Yes,1.56,Information Technology,1.42,5.3,5.21
Axis Bank,Bengaluru,Q2 2023,Recovery,3.53,20.97,13.47,No,95174,Support Engineer,ITSM + Linux + SQL,5.32,6.56,5.49,2,950313,3,IT,No,2.641,Financial Services,1.35,7.29,6.95
Amazon India,Hyderabad,Q4 2024,Recession,8.46,10.08,20.64,Yes,129420,Finance Analyst,Excel + Power BI + SQL,5.32,4.83,5.5,2,1466989,4,Finance,No,3.956,E-commerce,3.19,4.86,5.36
HDFC Bank,Gurugram,Q4 2025,Stable,9.05,18.96,13.73,Yes,184656,Support Engineer,Application Support + Monitoring,5.21,7.75,6.16,3,973851,3,IT,Yes,2.721,Financial Services,1.03,6.09,5.65
Amazon Development Centre India Pvt Ltd,Bengaluru,Q4 2024,Recession,9.06,14.55,13.6,Yes,157461,Business Analyst,Data Modeling + Power BI + Requirements,6.2,6.06,7.14,3,2067565,4,Management,Yes,3.444,E-commerce,3.12,5.27,5.46
Tata Consultancy Services (TCS),Noida,Q3 2024,Stable,10.97,20.86,16.61,No,562900,Technical Lead,Node.js + Microservices,8.12,7.64,6.76,2,2863134,3,Engineering,Yes,1.534,Information Technology,1.22,6.4,5.15
Tech Mahindra Ltd.,Bengaluru,Q1 2024,Stable,5.85,18.05,13.41,Yes,155066,Support Engineer,Application Support + Monitoring,5.51,7.33,5.55,4,1226568,3,IT,No,3.206,Information Technology,1.39,5.92,5.65
Apple India,Pune,Q1 2024,Growth,10.82,17.65,14.18,No,8755,Senior Software Engineer,Node.js + React,7.93,6.29,6.62,1,3245333,5,Management,Yes,1.308,Information Technology,1.45,6.49,6.0
ICICI Bank,Kolkata,Q1 2024,Stable,5.78,18.9,14.63,No,124887,Product Manager,Product Analytics + SQL + A/B Testing,7.25,6.6,7.05,6,2893619,1,Product,Yes,2.707,Financial Services,1.21,6.98,5.98
Microsoft India,Bengaluru,Q2 2023,Recession,5.09,19.97,11.4,No,23551,Machine Learning Engineer,PyTorch + Kubernetes + MLflow,9.28,8.04,8.13,0,3759496,3,Analytics,No,1.682,Information Technology,2.39,7.03,6.32
HCL Technologies,Noida,Q1 2023,Recovery,5.36,13.63,14.69,No,244141,Software Engineer,Go + Microservices,8.19,8.02,7.64,9,1865448,4,Engineering,Yes,0.948,Information Technology,2.08,7.89,6.67
Cognizant India,Chennai,Q4 2024,Growth,9.54,18.54,8.29,Yes,247370,Software Engineer,Java + Spring Boot,8.34,8.37,7.18,5,1334538,3,Engineering,No,1.692,Information Technology,1.3,6.15,5.17
Larsen & Toubro,Mumbai,Q1 2025,Stable,5.01,12.52,10.57,No,52427,Product Manager,Roadmapping + Jira + Experimentation,7.71,7.5,7.03,4,3725805,3,Product,Yes,1.311,Manufacturing,1.3,5.5,5.25
Deloitte India,Noida,Q3 2024,Stable,6.29,21.79,12.98,No,122260,Support Engineer,Ticketing + Debugging + Scripting,5.81,7.4,4.81,3,1171149,4,IT,Yes,2.349,Consulting,0.75,6.48,5.36
Tata Consultancy Services (TCS),Bengaluru,Q4 2024,Growth,11.48,19.57,15.68,No,609266,Engineering Manager,Cloud Delivery + Program Governance,6.38,5.84,7.78,5,4498407,5,Management,No,1.023,Information Technology,1.54,5.77,5.49
Apple India,Gurugram,Q4 2024,Growth,11.0,19.48,28.27,No,9316,Technical Lead,Node.js + Microservices,8.18,8.36,7.99,11,5688880,3,Engineering,Yes,0.464,Information Technology,0.64,5.48,5.35
Paytm,Gurugram,Q4 2023,Stable,8.32,18.76,16.87,Yes,18405,Recruiter,Sourcing Automation + Talent Analytics,5.43,5.16,5.91,2,910948,2,HR,No,4.307,Financial Services,1.0,7.14,5.94
Deloitte India,Noida,Q3 2023,Recovery,3.28,16.46,25.96,Yes,101397,Data Scientist,Python + NLP + Statistics,8.34,5.34,6.9,1,3812474,3,Operations,No,2.337,Consulting,1.73,7.65,6.44
Mphasis,Bengaluru,Q4 2023,Recession,5.99,17.19,5.8,Yes,36335,Technical Lead,Node.js + Microservices,7.38,7.1,6.61,3,2433581,2,Engineering,Yes,2.881,Information Technology,2.36,6.21,6.08
HDFC Bank,Hyderabad,Q4 2025,Recession,4.64,22.58,14.41,Yes,186787,Project Manager,Agile + Jira + Stakeholder Management,5.92,5.77,6.47,5,3612864,3,Management,Yes,3.547,Financial Services,2.67,6.31,5.4
Infosys,Chennai,Q2 2023,Stable,5.79,19.95,16.6,No,308008,Support Engineer,Ticketing + Debugging + Scripting,5.7,7.97,3.52,1,653722,2,IT,Yes,2.898,Information Technology,1.51,7.64,6.72
Oracle Financial Services Software Ltd.,Bengaluru,Q2 2024,Recovery,4.72,21.67,6.8,Yes,31191,Product Manager,Product Analytics + SQL + A/B Testing,7.04,6.52,6.98,6,7234149,4,Product,Yes,1.572,Financial Services,1.23,5.66,5.96
Cognizant India,Gurugram,Q3 2024,Growth,10.52,21.77,19.51,No,266551,UI/UX Designer,Figma + Design Systems,6.88,7.13,6.21,4,1741911,3,Product,Yes,1.457,Information Technology,0.83,5.7,5.91
Tata Consultancy Services (TCS),Gurugram,Q4 2024,Recession,6.87,16.27,23.54,No,552143,DevOps Engineer,Linux + Ansible + Observability,7.74,7.56,7.62,1,2412485,2,Engineering,Yes,2.145,Information Technology,2.26,5.97,5.55
Cognizant India,Noida,Q1 2024,Stable,9.56,17.8,2.32,No,280892,Site Reliability Engineer,AWS + Incident Response,8.7,8.01,7.14,9,2944869,4,Engineering,No,0.882,Information Technology,0.9,6.66,5.73
Accenture India Pvt Ltd,Bengaluru,Q1 2023,Stable,5.13,17.91,12.82,No,286812,Senior Software Engineer,Java + Spring Boot,7.63,8.55,7.22,3,2813605,3,Engineering,Yes,1.162,Consulting,1.06,7.28,7.14
Tata Consultancy Services (TCS),Noida,Q3 2023,Stable,9.87,16.75,19.24,No,575024,UI/UX Designer,UX Research + Prototyping,6.65,7.45,6.69,3,1591685,3,Product,Yes,1.075,Information Technology,1.24,7.42,6.36
Google India,Bengaluru,Q1 2025,Stable,10.39,17.86,23.82,No,19212,QA Engineer,Playwright + CI Test Automation,6.61,8.09,7.57,2,3086624,4,Engineering,Yes,0.776,Information Technology,1.06,5.59,4.93
ICICI Bank,Kolkata,Q1 2023,Recovery,1.52,16.7,8.37,No,129877,Cloud Engineer,Azure + DevOps + IaC,7.84,7.73,7.19,1,1658745,2,Engineering,No,1.772,Financial Services,1.42,8.41,6.83
Wipro Limited,Chennai,Q3 2024,Growth,15.24,17.96,14.29,No,274910,Technical Lead,.NET + Azure,7.94,8.78,7.01,0,2142299,3,Engineering,Yes,1.252,Information Technology,0.92,5.95,5.26
Mphasis,Hyderabad,Q3 2024,Growth,12.61,18.09,15.14,No,34423,Software Engineer,Java + Spring Boot,8.32,7.7,7.43,4,1716365,5,Engineering,Yes,0.505,Information Technology,1.36,5.46,5.17
Microsoft India,Chennai,Q4 2024,Stable,16.38,18.9,23.93,No,23165,Support Engineer,ITSM + Linux + SQL,5.75,5.94,5.71,7,1835112,4,Operations,No,2.502,Information Technology,1.34,6.05,5.21
Cognizant India,Hyderabad,Q4 2023,Recovery,4.87,16.49,12.7,No,272865,Software Engineer,Node.js + React,7.95,7.69,6.9,2,1245529,4,Engineering,Yes,1.063,Information Technology,1.52,6.38,5.59
Tata Consultancy Services (TCS),Noida,Q4 2023,Recovery,8.5,17.18,22.51,No,640767,Senior Software Engineer,Python + Django,7.5,8.08,6.64,1,2713024,3,Engineering,Yes,2.023,Information Technology,2.01,6.71,6.13
Larsen & Toubro,Bengaluru,Q2 2023,Stable,-0.08,8.27,6.15,No,48246,Engineering Manager,Agile + Jira + Architecture Reviews,7.19,7.06,7.89,5,4981255,3,Management,No,1.918,Manufacturing,1.85,7.43,6.47
Oracle Financial Services Software Ltd.,Hyderabad,Q1 2024,Stable,4.79,20.14,6.53,No,31872,Data Scientist,Python + NLP + Statistics,8.29,7.8,7.27,3,3341955,3,Engineering,No,0.999,Financial Services,1.01,6.5,5.59
IBM India,Mumbai,Q1 2025,Stable,10.36,19.04,18.37,No,141740,Finance Analyst,SAP + Financial Modeling,5.84,6.06,5.49,6,2368835,5,Finance,No,1.673,Information Technology,1.41,5.78,5.45
Amazon India,Hyderabad,Q1 2025,Growth,12.35,10.97,12.19,Yes,119861,Senior Software Engineer,.NET + Azure,8.33,9.13,7.72,6,2892965,3,Engineering,Yes,1.923,E-commerce,1.51,5.15,4.86
Vodafone Idea,Bengaluru,Q1 2023,Stable,4.66,15.16,7.01,Yes,9508,Cloud Engineer,GCP + Docker + Networking,8.88,8.49,7.63,6,2328670,4,Engineering,No,1.18,Telecommunications,1.3,7.5,6.94
Razorpay,Hyderabad,Q3 2023,Recession,-1.06,16.29,6.64,Yes,12591,Software Engineer,Node.js + React,7.87,7.97,6.37,4,1636891,4,Engineering,Yes,2.573,Financial Services,2.28,6.81,6.18
Cognizant India,Kolkata,Q1 2023,Recession,1.79,13.12,9.87,Yes,260912,Senior Software Engineer,.NET + Azure,7.74,8.2,6.45,4,2083564,3,Engineering,Yes,1.811,Information Technology,2.59,8.32,7.35
Flipkart Internet Pvt Ltd,Gurugram,Q1 2025,Growth,12.47,8.16,16.1,No,39284,DevOps Engineer,Docker + Kubernetes + AWS,9.18,8.73,8.86,4,2121263,2,Engineering,Yes,1.234,E-commerce,1.51,6.06,5.08
IBM India,Chennai,Q2 2023,Recovery,8.24,21.77,10.52,No,143801,Recruiter,ATS + LinkedIn Recruiter,4.27,4.91,4.19,4,1088588,5,HR,Yes,3.212,Information Technology,1.54,8.4,6.58
PwC India,Hyderabad,Q1 2025,Growth,9.73,20.67,15.04,Yes,68610,Cloud Engineer,Azure + DevOps + IaC,8.83,8.7,8.31,5,2608296,2,Engineering,Yes,0.764,Consulting,0.98,5.63,5.04
Persistent Systems,Kochi,Q2 2025,Growth,11.95,21.05,19.83,No,27782,Software Engineer,Java + Spring Boot,8.7,8.4,6.67,5,1360856,4,Engineering,Yes,0.526,Information Technology,0.73,6.02,5.15
HCL Technologies,Bengaluru,Q2 2025,Recovery,8.74,20.3,9.76,No,249376,Software Engineer,Java + Spring Boot,8.1,7.71,7.4,6,2394890,4,Engineering,Yes,1.299,Information Technology,2.41,5.42,5.1
IBM India,Bengaluru,Q3 2025,Growth,10.74,14.38,13.22,No,161345,Senior Software Engineer,Node.js + React,7.61,8.27,7.39,4,2647641,4,Engineering,Yes,0.183,Information Technology,0.75,5.67,5.34
Jio Platforms,Coimbatore,Q3 2025,Stable,2.9,17.08,12.76,No,81094,Engineering Manager,Cloud Delivery + Program Governance,6.97,6.34,7.92,5,3840359,5,Management,Yes,0.407,Telecommunications,1.74,6.36,5.37
Amazon Development Centre India Pvt Ltd,Bengaluru,Q3 2023,Recovery,7.59,10.51,15.98,Yes,145912,Recruiter,Sourcing Automation + Talent Analytics,5.55,4.62,5.49,10,2055118,3,HR,No,3.489,E-commerce,1.91,6.78,6.19
Coforge,Chennai,Q4 2023,Recession,2.63,17.76,11.15,No,26764,Cloud Engineer,GCP + Docker + Networking,8.65,8.18,7.91,4,2134900,4,Engineering,Yes,1.53,Information Technology,2.57,6.56,6.11
Oracle Financial Services Software Ltd.,Hyderabad,Q2 2023,Stable,5.05,18.93,13.97,No,28077,Accountant,SAP Finance + Compliance,5.76,6.31,5.87,6,1345938,5,Finance,No,1.997,Financial Services,0.7,7.16,7.12
HCL Technologies,Bengaluru,Q3 2025,Stable,5.89,17.34,9.16,No,212864,QA Engineer,Manual QA + Regression Testing,5.31,8.1,4.21,4,1607466,3,Engineering,Yes,3.445,Information Technology,1.8,5.6,5.06
Tata Motors,Kolkata,Q4 2024,Stable,3.87,11.5,13.3,No,70906,Project Manager,Agile + Jira + Stakeholder Management,6.9,6.0,5.64,17,5410935,4,Management,No,2.001,Manufacturing,1.74,5.93,5.66
Google India,Pune,Q2 2025,Stable,13.11,18.38,22.73,No,18778,Senior Software Engineer,Node.js + React,7.55,5.34,6.2,1,2831169,5,HR,No,1.574,Information Technology,1.26,5.43,5.0
Amazon Development Centre India Pvt Ltd,Bengaluru,Q2 2025,Recession,6.75,8.65,14.1,No,174012,DevOps Engineer,Linux + Ansible + Observability,8.29,8.21,7.91,8,3064534,3,Engineering,No,1.656,E-commerce,2.88,4.91,4.93
Amazon Development Centre India Pvt Ltd,Noida,Q3 2024,Growth,15.51,13.87,15.16,Yes,154740,Software Engineer,Java + Spring Boot,8.13,8.17,6.47,3,2329008,3,Engineering,No,2.035,E-commerce,1.39,6.02,5.45
LTIMindtree,Kolkata,Q3 2024,Growth,6.24,16.51,18.3,No,87900,Recruiter,Sourcing Automation + Talent Analytics,6.06,5.92,6.27,3,968180,5,HR,Yes,1.975,Information Technology,0.75,6.6,5.61
ICICI Bank,Chennai,Q4 2025,Stable,10.29,19.03,21.79,No,118723,DevOps Engineer,Terraform + CI/CD + GCP,8.01,8.5,7.2,4,3198761,4,Engineering,Yes,0.356,Financial Services,0.74,5.22,5.42
Cognizant India,Kochi,Q4 2025,Growth,11.71,16.76,21.09,No,253422,Finance Analyst,Excel + Power BI + SQL,6.15,6.22,5.59,4,1366099,4,Finance,No,1.543,Information Technology,0.71,6.3,5.23
Accenture India Pvt Ltd,Kochi,Q4 2023,Recovery,3.58,16.68,12.06,Yes,298804,Data Analyst,SQL + Tableau + Python,7.1,7.21,6.6,2,1734652,5,Analytics,Yes,1.889,Consulting,1.66,6.63,5.87
Cipla,Pune,Q1 2023,Recession,0.93,15.75,4.75,Yes,27419,Technical Lead,.NET + Azure,6.73,7.19,7.07,9,2970929,3,Engineering,No,3.016,Healthcare,2.11,7.95,6.92
Amazon Development Centre India Pvt Ltd,Mumbai,Q1 2023,Recession,5.6,8.82,11.86,Yes,144672,Product Manager,Roadmapping + Jira + Experimentation,7.62,6.68,7.35,11,4544390,4,Product,No,1.867,E-commerce,3.22,7.13,7.27
Wipro Limited,Chennai,Q2 2025,Stable,9.74,19.69,13.21,No,240620,Cybersecurity Analyst,SIEM + SOC + Threat Hunting,8.69,7.29,7.98,4,1943272,3,IT,No,1.061,Information Technology,1.5,6.07,4.92
Accenture India Pvt Ltd,Mumbai,Q3 2024,Growth,12.39,21.5,8.82,No,320625,Finance Analyst,Excel + Power BI + SQL,5.81,6.25,6.35,6,2317564,5,Finance,Yes,0.96,Consulting,1.03,5.37,5.27
Cognizant India,Pune,Q4 2024,Recovery,11.0,17.79,17.78,Yes,301279,Data Analyst,SQL + Power BI + Excel,6.6,7.21,6.64,4,1446988,4,Analytics,Yes,2.737,Information Technology,2.09,5.93,5.63
Facebook India,Hyderabad,Q2 2024,Recovery,8.03,17.77,8.71,No,6803,QA Engineer,Manual QA + Regression Testing,5.23,8.22,2.86,3,2010116,4,Engineering,Yes,2.682,Information Technology,1.95,6.43,5.65
Persistent Systems,Pune,Q3 2025,Growth,10.15,18.32,14.83,No,27335,Senior Software Engineer,Java + Spring Boot,8.16,8.37,6.67,3,1980953,4,Engineering,Yes,1.099,Information Technology,1.27,5.88,5.27
Accenture India Pvt Ltd,Mumbai,Q3 2023,Recession,0.6,19.46,10.22,Yes,277055,Project Manager,Program Planning + Risk Tracking,5.85,6.17,6.71,2,3530786,4,Management,Yes,2.749,Consulting,2.53,7.14,6.54
Vodafone Idea,Hyderabad,Q4 2024,Stable,3.34,13.28,5.74,No,8975,Solution Architect,Cloud Architecture + Microservices,8.1,8.31,7.8,10,5093551,4,Engineering,No,1.131,Telecommunications,1.41,6.49,5.15
Sun Pharma,Kolkata,Q1 2025,Stable,7.75,18.69,6.96,No,37439,Sales Executive,Pipeline Automation + Prospecting Tools,5.77,6.11,5.43,3,1084545,4,Sales,No,2.177,Healthcare,0.45,6.49,5.3
Amazon India,Noida,Q1 2023,Recession,7.74,10.56,6.22,No,99779,Software Engineer,Java + Spring Boot,8.51,7.84,6.81,3,2380818,4,Engineering,Yes,2.117,E-commerce,2.9,7.89,6.77
Mahindra & Mahindra,Chennai,Q4 2024,Stable,5.46,13.69,9.0,Yes,89416,Software Engineer,Java + Spring Boot,7.48,8.44,7.2,5,1689847,3,Engineering,No,2.072,Manufacturing,1.57,6.12,4.91
Coforge,Kochi,Q2 2023,Recovery,6.98,15.87,20.35,No,25646,QA Engineer,Playwright + CI Test Automation,6.17,7.72,7.36,4,1413496,4,Engineering,Yes,2.407,Information Technology,1.93,7.74,6.52
Capgemini India,Bengaluru,Q2 2023,Recovery,7.36,19.31,16.82,No,180247,Software Engineer,Python + FastAPI,7.95,7.23,7.3,10,2621487,4,Engineering,Yes,0.744,Consulting,1.91,7.48,6.99
Accenture India Pvt Ltd,Bengaluru,Q2 2025,Growth,13.04,16.79,22.07,No,287355,Project Manager,Program Planning + Risk Tracking,6.9,6.98,5.27,3,3212747,4,Management,Yes,1.706,Consulting,1.0,4.9,5.2
Tech Mahindra Ltd.,Mumbai,Q4 2023,Stable,8.99,14.49,15.33,No,151865,Cybersecurity Analyst,VAPT + Incident Response,8.9,8.09,7.41,10,2884534,4,IT,No,0.339,Information Technology,1.51,6.85,6.27
Tata Consultancy Services (TCS),Kochi,Q3 2023,Recovery,5.69,15.24,10.84,Yes,617391,Finance Analyst,SAP + Financial Modeling,5.94,5.3,5.75,5,1507811,3,Finance,Yes,2.779,Information Technology,2.02,7.82,6.33
Tech Mahindra Ltd.,Gurugram,Q3 2025,Stable,6.96,18.83,8.51,No,146474,Support Engineer,Application Support + Monitoring,5.99,7.1,6.06,4,942920,1,IT,Yes,2.773,Information Technology,1.33,5.8,5.87
Cognizant India,Chennai,Q1 2023,Recovery,8.96,14.84,20.85,No,224369,Software Engineer,Java + Spring Boot,7.63,7.89,7.12,1,1354393,3,Engineering,No,1.348,Information Technology,1.74,7.92,7.01
Flipkart Internet Pvt Ltd,Bengaluru,Q3 2025,Recovery,10.17,9.45,5.33,No,36877,Software Engineer,Java + Spring Boot,8.25,7.3,6.81,6,2511454,5,Engineering,Yes,1.4,E-commerce,2.51,5.7,5.41
Sun Pharma,Chennai,Q3 2025,Stable,5.81,19.35,11.63,No,37594,Software Engineer,Node.js + React,7.33,6.26,7.41,9,2173155,4,Operations,No,1.119,Healthcare,0.7,6.08,5.12
Tata Consultancy Services (TCS),Gurugram,Q3 2025,Stable,11.25,19.76,32.32,No,659226,DevOps Engineer,Docker + Kubernetes + AWS,8.46,7.69,8.52,3,2715661,4,Engineering,Yes,0.01,Information Technology,1.34,5.65,5.08
LTIMindtree,Pune,Q1 2023,Recession,5.85,19.2,12.23,Yes,74846,QA Engineer,Manual QA + Regression Testing,5.45,8.62,2.55,5,1793766,4,Engineering,Yes,3.825,Information Technology,2.81,8.33,7.04
Wipro Limited,Mumbai,Q2 2024,Growth,14.44,16.25,24.44,Yes,275080,Software Engineer,Node.js + React,8.41,8.76,6.65,6,1658314,3,Engineering,No,2.065,Information Technology,1.19,6.56,5.38
Capgemini India,Bengaluru,Q4 2025,Stable,7.75,22.74,5.72,Yes,145197,Cybersecurity Analyst,SIEM + SOC + Threat Hunting,9.37,7.49,8.45,1,1861905,4,IT,Yes,0.51,Consulting,1.09,5.76,5.84
Infosys,Kolkata,Q4 2024,Growth,11.48,18.63,20.41,No,362606,Cybersecurity Analyst,Cloud Security + IAM + Zero Trust,9.5,7.5,9.04,5,2226262,4,IT,Yes,0.061,Information Technology,0.95,6.37,5.27
Wipro Limited,Bengaluru,Q3 2024,Growth,9.96,19.84,19.6,No,248859,Software Engineer,Go + Microservices,8.25,8.91,6.72,2,1862325,4,Engineering,Yes,0.381,Information Technology,1.12,5.56,5.51
Larsen & Toubro,Hyderabad,Q2 2024,Recovery,3.09,8.83,0.09,No,54458,Cloud Engineer,GCP + Docker + Networking,8.08,7.11,7.02,5,2102610,4,Product,Yes,1.162,Manufacturing,1.56,6.53,5.93
PwC India,Coimbatore,Q3 2025,Growth,13.42,21.35,24.43,No,63699,Finance Analyst,Excel + Power BI + SQL,5.81,6.42,6.23,4,1823929,3,Finance,No,1.891,Consulting,1.19,6.09,5.75
PwC India,Gurugram,Q3 2025,Growth,9.96,19.89,17.83,No,87265,Machine Learning Engineer,LLM Ops + Vector DB + Python,9.43,8.16,9.32,3,3343899,5,Analytics,Yes,0.01,Consulting,0.73,6.0,5.14
IBM India,Bengaluru,Q3 2025,Stable,11.09,21.8,7.69,No,133710,DevOps Engineer,Linux + Ansible + Observability,8.6,9.04,7.27,8,3538781,4,Engineering,Yes,0.354,Information Technology,1.22,5.48,5.56
Larsen & Toubro,Bengaluru,Q4 2025,Stable,10.51,12.6,16.58,No,49560,Project Manager,Agile + Jira + Stakeholder Management,6.21,6.75,7.01,3,3257390,4,Management,No,1.628,Manufacturing,1.19,5.25,5.29
Amazon Development Centre India Pvt Ltd,Bengaluru,Q3 2023,Recovery,11.02,9.42,18.74,No,142931,Machine Learning Engineer,Python + TensorFlow + MLOps,8.64,7.37,8.32,9,5971028,3,Analytics,Yes,0.974,E-commerce,1.87,6.86,6.52
Axis Bank,Noida,Q4 2025,Recovery,6.62,19.48,10.2,No,89339,QA Engineer,Manual QA + Regression Testing,5.58,8.12,3.3,4,1239835,4,Engineering,Yes,2.812,Financial Services,1.42,5.78,4.89
Infosys,Mumbai,Q3 2025,Stable,13.91,19.22,17.55,Yes,329330,Machine Learning Engineer,LLM Ops + Vector DB + Python,8.24,8.27,9.49,7,3374728,2,Analytics,Yes,1.022,Information Technology,1.31,5.32,5.42
Tata Consultancy Services (TCS),Mumbai,Q3 2024,Growth,11.32,15.88,14.35,No,571411,QA Engineer,Selenium + Cypress + API Testing,5.92,8.26,7.01,1,1392478,4,Engineering,No,1.455,Information Technology,0.85,5.78,5.15
IBM India,Bengaluru,Q4 2025,Recovery,7.83,15.89,11.59,Yes,142825,Engineering Manager,Cloud Delivery + Program Governance,6.14,7.05,7.25,4,5145084,5,Management,Yes,1.56,Information Technology,1.97,5.77,5.59
Tata Motors,Noida,Q4 2024,Growth,6.08,14.02,16.1,No,80110,Machine Learning Engineer,LLM Ops + Vector DB + Python,8.95,8.81,7.73,8,3678601,3,Analytics,No,0.464,Manufacturing,1.23,5.67,5.54
Coforge,Bengaluru,Q2 2024,Stable,10.8,19.19,18.97,Yes,24177,Product Manager,Product Analytics + SQL + A/B Testing,7.83,7.35,6.85,1,2910643,4,Product,No,1.805,Information Technology,1.26,5.6,5.79
EY India,Coimbatore,Q4 2025,Stable,9.17,21.4,11.23,No,94042,QA Engineer,Playwright + CI Test Automation,6.92,8.25,6.36,11,1961387,4,Engineering,No,0.856,Consulting,0.99,6.34,5.17
Larsen & Toubro,Pune,Q3 2023,Stable,0.22,13.04,2.5,Yes,43631,DevOps Engineer,Linux + Ansible + Observability,8.62,8.61,6.63,4,2773309,4,Engineering,Yes,1.308,Manufacturing,1.3,7.03,6.15
Facebook India,Pune,Q2 2024,Recovery,6.49,17.25,12.03,No,6253,Site Reliability Engineer,Kubernetes + SRE + Observability,8.08,7.89,7.87,5,2650731,5,Engineering,Yes,0.54,Information Technology,1.69,6.75,5.86
Accenture India Pvt Ltd,Hyderabad,Q2 2023,Recession,2.83,21.58,4.35,No,326211,Product Manager,Roadmapping + Jira + Experimentation,7.15,6.61,6.6,5,3455271,2,Product,No,2.871,Consulting,2.4,7.3,6.68
Mphasis,Mumbai,Q4 2023,Stable,12.69,19.14,10.03,No,32141,Technical Lead,Kubernetes + AWS,7.51,8.64,7.36,4,3104530,4,Engineering,Yes,0.887,Information Technology,1.1,6.97,6.35
LTIMindtree,Mumbai,Q1 2023,Recession,3.94,14.42,13.39,No,76801,Senior Software Engineer,Java + Spring Boot,7.55,8.8,6.78,2,1791258,3,Engineering,No,1.714,Information Technology,2.36,7.92,6.95
Accenture India Pvt Ltd,Bengaluru,Q4 2025,Growth,11.89,19.23,26.35,No,300973,UI/UX Designer,UX Research + Prototyping,7.31,6.45,6.07,2,2077733,4,Product,Yes,1.164,Consulting,0.89,5.74,5.33
Flipkart Internet Pvt Ltd,Ahmedabad,Q2 2024,Growth,14.47,10.33,16.24,Yes,39881,Cybersecurity Analyst,SIEM + SOC + Threat Hunting,8.91,6.27,8.42,7,2150736,2,IT,No,1.513,E-commerce,1.48,6.75,5.9
